time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-2.17803101156e-07,-4.50513969287e-08,15.0020100573,6.2828472859,0.000226576751563,0.0,-1.91423322727e-05,-1.45635786195e-05,0.0669997188088,-0.0203537531196,0.0104237831197,0.0,425.34408578577734,426.2356269044271,427.6795360011685,425.9428127136684
0.12000000000000001,-8.88105611619e-06,-1.33176611349e-05,15.0104990948,6.28171649352,0.000527379666249,0.0,-0.000323639186972,-0.000556169063073,0.215950882257,-0.0159909487157,-0.00892929422299,0.0,453.25113140735874,451.6933220056941,451.7050788338951,452.0567617249666
0.18,-3.9424153163e-05,-8.94865515355e-05,15.0317225498,6.28054256301,6.28277869731,0.0,-0.000607147639696,-0.00211768707616,0.491419502692,-0.0278948621909,-0.0341338859303,0.0,490.47765716290866,488.6025561239988,489.90075953301783,489.01504773863826
0.23999999999999996,-6.14576811239e-05,-0.000270640127753,15.0618503503,6.27876679948,6.28071003477,0.0,5.8695855235e-05,-0.00407638683995,0.512830252433,-0.033235508941,-0.0351742216424,0.0,411.3266512691818,411.23392031599104,411.9006191171339,411.42776380979313
0.3,1.53886613726e-05,-0.000637371059096,15.1006321562,6.27726850472,6.27880046295,0.0,0.00275623652072,-0.00836387961638,0.779750996114,-0.0121504470758,-0.02585503776,0.0,486.5245526178412,487.2214007928593,486.9558411595127,488.5302185713347
0.36000000000000004,0.000293693888882,-0.00128559666141,15.1539434891,6.27618034956,6.27731126784,0.0,0.00670123515909,-0.0133463002297,0.997127551199,-0.03413248546,-0.0228263725009,0.0,473.3253185618582,473.55825771870656,474.0602463981378,472.36838486809
0.4200000000000001,0.000806482548506,-0.00221968394165,15.2141772888,6.27424032987,6.27591120055,0.0,0.0105151599015,-0.0179675221063,1.01065160598,-0.0289596909116,-0.0243703611104,0.0,409.94481450506805,409.80750959112123,409.05456447176516,409.51439953743983
0.48000000000000015,0.00163633701692,-0.00354202509327,15.2835606886,6.27278350733,6.27465787409,0.0,0.017320409337,-0.0263142401323,1.30183983233,-0.0162655989079,-0.0147047108014,0.0,495.02951240847307,495.74020940041,493.9546372186844,494.8897283322536
0.5400000000000001,0.00289829731865,-0.00539118538814,15.3696287893,6.27232221315,6.27349876862,0.0,0.0248684317847,-0.0354068726945,1.56677009528,0.00551388162831,-0.0306687613872,0.0,487.97275817610716,486.7797694690438,487.99925551732616,489.6222126277877
0.6000000000000002,0.00460718927005,-0.00774903530387,15.4675911978,6.27223092494,6.27131204709,0.0,0.0323036295408,-0.0431667147731,1.69845485299,-0.0218185195417,-0.0516709045728,0.0,449.64209651426137,447.93686791440985,450.8424145170399,448.62881759010645
0.6600000000000003,0.00682922444914,-0.0105945078653,15.5746607219,6.27100292561,6.26772086524,0.0,0.0421265770647,-0.0518221008314,1.87025740701,-0.0178916590632,-0.0860638350663,0.0,462.90477799349685,460.18775772422487,462.13944262783986,462.44887291471304
0.7200000000000003,0.0096858881795,-0.013951069213,15.6892503376,6.27058087825,6.26230777542,0.0,0.0536147178773,-0.0601297018091,1.94925447212,0.00876130381815,-0.100180795473,0.0,433.91963330840207,432.72582069821493,432.9084943872247,435.1453341474947
0.7800000000000004,0.0134321137156,-0.0178614441571,15.8127282396,6.27097218545,6.2576095535,0.0,0.0718677205019,-0.0701560452153,2.16627606913,0.00161724675147,-0.053067387842,0.0,474.90671158348385,478.5011097614251,475.99159898768175,475.44449449822514
0.8400000000000004,0.0183608601981,-0.0223575768511,15.948605403,6.2715295382,6.25418615139,0.0,0.0927958999195,-0.0796685744088,2.36256723374,0.021379046774,-0.0665453917803,0.0,471.751716961143,470.70780493444596,469.8846498843169,471.41398259079654
0.9000000000000005,0.0245227776192,-0.0273660381591,16.0926919386,6.27240013227,6.25063428255,0.0,0.112965635106,-0.0871663671015,2.44014340745,-0.00504787869003,-0.0475235598031,0.0,434.40409829223495,435.9935287504928,436.46421927113147,434.25306217732066
0.9600000000000005,0.0320263887104,-0.0328339347947,16.2433700179,6.27173792479,6.2475057946,0.0,0.137465422599,-0.0951413192504,2.58213594166,-0.0270476227138,-0.0635004349748,0.0,456.2585580292521,454.97947103710555,456.8659688499223,455.1086464743236
1.0200000000000005,0.0410322621049,-0.0387870403945,16.4014679521,6.27034961547,6.24386070422,0.0,0.163103844215,-0.10344632163,2.68753436057,-0.0162861343149,-0.0557558028331,0.0,444.3962266995236,445.02794020670234,445.1901636209524,446.0697540811421
1.0800000000000005,0.0515657684332,-0.0452373598121,16.5637631349,6.26892606726,6.24056338527,0.0,0.18831588523,-0.111667241779,2.72220594465,-0.0459207029763,-0.053401173304,0.0,422.62385118780065,422.82455509793596,424.5774412398033,422.0270271969978
1.1400000000000006,0.0639787242463,-0.0523181456571,16.7352037295,6.26577184136,6.23741320153,0.0,0.225823387558,-0.124717375387,2.99178658254,-0.0711806142225,-0.0507653823895,0.0,494.46306348203234,494.6557083048097,495.6954553493723,493.83406572427725
1.2000000000000006,0.0784742458083,-0.0601729265561,16.9174615325,6.26109713601,6.23396735572,0.0,0.257670024731,-0.137548661025,3.08320165503,-0.0968577412867,-0.0761049626571,0.0,445.09913290742503,443.0179529784282,443.09255082413523,440.9713389192374
1.2600000000000007,0.0949089112298,-0.0688772247537,17.1042666764,6.25509659984,6.23011639996,0.0,0.290540720615,-0.15315671445,3.14343101155,-0.107196547588,-0.0472742527066,0.0,432.5462309509757,434.96400676302613,434.1067402329566,433.22932810204077
